account_number,account_name,jul_2025,aug_2025,sep_2025,oct_2025,nov_2025,dec_2025
10100,Cash - Operating,12500000,11800000,13200000,10500000,12100000,14300000
11100,Accounts Receivable,8900000,9200000,9500000,9100000,9800000,10200000
11200,Allowance for Doubtful Accounts,-445000,-460000,-475000,-455000,-490000,-510000
13400,Prepaid Expenses,1200000,1150000,1100000,1250000,1180000,980000
13500,Prepaid Insurance,450000,412500,375000,337500,300000,262500
14100,Property Plant Equipment,25000000,25000000,25300000,25300000,25600000,25600000
14200,Accumulated Depreciation,-8500000,-8750000,-9000000,-9250000,-9500000,-9750000
15210,Deferred Revenue,-15600000,-16200000,-15800000,-16500000,-17100000,-18300000
16100,Deferred Tax Assets,2100000,2150000,2200000,2180000,2250000,2300000
18200,Intercompany Receivables - EMEA,3200000,3400000,3100000,3500000,3800000,5000000
18210,Intercompany Receivables - APAC,1800000,1900000,1750000,2100000,2200000,2450000
20100,Accounts Payable,-4200000,-4500000,-4100000,-4800000,-4600000,-5200000
21100,Accrued Payroll,-2800000,-2900000,-2850000,-2900000,-3100000,-3200000
21200,Accrued Bonuses,-500000,-500000,-500000,-500000,-500000,-2400000
24100,Accrued Expenses,-2600000,-2750000,-2900000,-2800000,-3100000,-3500000
24200,Accrued Professional Services,-800000,-850000,-900000,-1100000,-1200000,-1350000
24300,Accrued Commissions,-650000,-700000,-720000,-680000,-750000,-890000
28200,Intercompany Payables - EMEA,-3100000,-3300000,-3000000,-3400000,-3700000,-4900000
28210,Intercompany Payables - APAC,-1750000,-1850000,-1700000,-2050000,-2150000,-2400000
30100,Common Stock,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000
30200,Additional Paid-in Capital,-45000000,-45000000,-45000000,-45000000,-45000000,-45000000
30300,Retained Earnings,-8500000,-9200000,-9900000,-10500000,-11200000,-11900000
40100,Product Revenue,0,0,0,0,0,-12500000
40200,Services Revenue,0,0,0,0,0,-3200000
40300,Subscription Revenue,0,0,0,0,0,-8800000
50100,Cost of Goods Sold,0,0,0,0,0,4200000
60100,Sales Salaries,0,0,0,0,0,1800000
60200,Sales Commissions,0,0,0,0,0,980000
60300,Marketing Expenses,0,0,0,0,0,1200000
70100,R&D Salaries,0,0,0,0,0,3500000
80100,G&A Salaries,0,0,0,0,0,1100000
80200,Professional Services,0,0,0,0,0,850000
80300,Rent Expense,0,0,0,0,0,420000
60400,Travel and Entertainment,0,0,0,0,0,350000
70300,Software and Tools,0,0,0,0,0,480000
80400,Utilities,0,0,0,0,0,180000
80600,Depreciation Expense,0,0,0,0,0,250000
80700,IT Infrastructure,0,0,0,0,0,520000
