transaction_date,post_date,account_number,account_name,description,reference,debit,credit,source,entered_by,department
2025-11-01,2025-11-01,24100,Accrued Expenses,Vendor invoice accrual - consulting,AP-27821,110000,0,AP System,system_auto,Finance
2025-11-01,2025-11-01,20100,Accounts Payable,Vendor invoice accrual - consulting,AP-27821,0,110000,AP System,system_auto,Finance
2025-11-03,2025-11-03,24100,Accrued Expenses,Accrual reversal - Oct utilities,JE-12201,0,7800,Manual JE,jpark,Facilities
2025-11-03,2025-11-03,80400,Utilities,Accrual reversal - Oct utilities,JE-12201,7800,0,Manual JE,jpark,Facilities
2025-11-05,2025-11-05,24100,Accrued Expenses,Employee expense reimbursement,EXP-9601,0,19200,Expense System,system_auto,Sales
2025-11-05,2025-11-05,10100,Cash - Operating,Employee expense reimbursement,EXP-9601,19200,0,Expense System,system_auto,Sales
2025-11-08,2025-11-08,24100,Accrued Expenses,Professional services - legal fees,AP-27901,72000,0,AP System,system_auto,Legal
2025-11-08,2025-11-08,20100,Accounts Payable,Professional services - legal fees,AP-27901,0,72000,AP System,system_auto,Legal
2025-11-10,2025-11-10,24100,Accrued Expenses,Accrued AWS usage estimate,JE-12215,39000,0,Manual JE,jpark,IT
2025-11-10,2025-11-10,80700,IT Infrastructure,Accrued AWS usage estimate,JE-12215,0,39000,Manual JE,jpark,IT
2025-11-12,2025-11-12,24100,Accrued Expenses,Payment of accrued consulting,AP-27945,0,85000,AP System,system_auto,Finance
2025-11-12,2025-11-12,10100,Cash - Operating,Payment of accrued consulting,AP-27945,85000,0,AP System,system_auto,Finance
2025-11-15,2025-11-15,24100,Accrued Expenses,Facilities accrual,AP-28012,58000,0,AP System,system_auto,Facilities
2025-11-15,2025-11-15,20100,Accounts Payable,Facilities accrual,AP-28012,0,58000,AP System,system_auto,Facilities
2025-11-18,2025-11-18,24100,Accrued Expenses,Accrual adjustment,JE-12250,25000,0,Manual JE,treasury_team,Finance
2025-11-18,2025-11-18,80200,Professional Services,Accrual adjustment,JE-12250,0,25000,Manual JE,treasury_team,Finance
2025-11-20,2025-11-20,24100,Accrued Expenses,Employee expenses batch,EXP-9712,15800,0,Expense System,system_auto,Multiple
